Število spletnih nakupov, ki so jih opravili posamezniki v zadnjih 12 mesecih, po vrsti izdelka ali storitve, po starostnih razredih in spolu, Slovenija, letno;;;;;;;
;;;;;;;
LETO;E-NAKUPI  PO VRSTI IZDELKA ALI STORITVE;16–24;25–34;35–44;45–54;55–64;65–74
2014;..Elektronsko opremo (vkljuèno s kamerami);29418;41780;33374;15774;5583;1053
2014;..Telekomunikacijske storitve (npr. naroènine, predplaèniške kartice);8929;17446;20182;5780;6885;545
2014;..Delnice, finanène storitve, zavarovanje;1851;8200;10724;5063;1996;455
2014;..Turistiène nastanitvene zmogljivosti;28890;66105;75198;36749;18585;2897
2014;..Potovanja, poèitniško namestitev;-;-;-;-;-;-
2014;..Druge storitve v zvezi z organizacijo potovanj (npr. nakup letalske karte, najem avtomobila);20028;43392;42135;18431;9402;2739
2014;..Vstopnice za prireditve;37934;63335;53564;26866;13239;2802
2014;..Filme, glasbo;18310;18678;11476;5575;2103;1158
2014;..Knjige, revije, èasopise;20592;46926;30789;17553;8065;5630
2014;..Elektronsko uèno gradivo;15530;11998;11865;6415;1773;1507
2014;..Knjige, revije, èasopisi, elektronsko uèno gradivo;-;-;-;-;-;-
2014;..Raèunalniške oz. videoigre, raèunalniška programska oprema, programska nadgradnja;17324;15828;18203;5813;3278;1391
2014;..Raèunalniško programsko opremo (vkljuèno z video igricami);-;-;-;-;-;-
2014;..Raèunalniške oz. videoigre in posodobitve;-;-;-;-;-;-
2014;..Drugo raèunalniško programsko opremo in posodobitve;-;-;-;-;-;-
2014;..Loterija, stave;-;-;-;-;-;-
2014;..Oddaja stav ali iger na sreèo;-;-;-;-;-;-
2014;..Druge izdelke ali storitve;10414;6006;13917;8369;5089;2955
2015;Posamezniki – SKUPAJ;183692;280417;302780;304599;290628;191959
2015;..Dobrine za vsakdanjo uporabo (npr. hrana, kozmetika);26925;49055;41258;24375;13981;5062
2015;..Dobrine za gospodinjstvo (npr. pohištvo, igraèe, avto, bela tehnika);23824;61947;55955;16920;12110;1577
2015;..Zdravila, prehranska dopolnila;468;11490;8628;5841;7275;1029
2015;..Oblaèila, športno opremo, èevlje;66398;76548;68637;42926;11793;3546
2015;..Raèunalniško strojno opremo;22833;40741;32043;15478;7770;664
2015;..Elektronsko opremo (vkljuèno s kamerami);24576;40430;27795;19098;11544;2607
2015;..Telekomunikacijske storitve (npr. naroènine, predplaèniške kartice);6206;11208;6025;6109;5790;-
2015;..Delnice, finanène storitve, zavarovanje;934;5097;3264;1601;476;-
2015;..Turistiène nastanitvene zmogljivosti;17482;39980;34099;19056;14771;891
2015;..Potovanja, poèitniško namestitev;-;-;-;-;-;-
2015;..Druge storitve v zvezi z organizacijo potovanj (npr. nakup letalske karte, najem avtomobila);8686;22041;24698;13203;6818;-
2015;..Vstopnice za prireditve;24500;41913;35114;18732;4510;1555
2015;..Filme, glasbo;12471;9513;7327;2997;698;-
2015;..Knjige, revije, èasopise;6629;26333;24833;7822;4941;-
2015;..Elektronsko uèno gradivo;7354;9710;3573;2259;396;-
2015;..Knjige, revije, èasopisi, elektronsko uèno gradivo;-;-;-;-;-;-
2015;..Raèunalniške oz. videoigre, raèunalniška programska oprema, programska nadgradnja;9303;9469;6098;7850;3472;759
2015;..Raèunalniško programsko opremo (vkljuèno z video igricami);-;-;-;-;-;-
2015;..Raèunalniške oz. videoigre in posodobitve;-;-;-;-;-;-
2015;..Drugo raèunalniško programsko opremo in posodobitve;-;-;-;-;-;-
2015;..Loterija, stave;-;-;-;-;-;-
2015;..Oddaja stav ali iger na sreèo;-;-;-;-;-;-
2015;..Druge izdelke ali storitve;10831;3685;3937;1419;2215;2355
2016;Posamezniki – SKUPAJ;179196;271828;305599;301792;290989;198326
2016;..Dobrine za vsakdanjo uporabo (npr. hrana, kozmetika);26452;61052;44312;26299;16569;2837
2016;..Dobrine za gospodinjstvo (npr. pohištvo, igraèe, avto, bela tehnika);29141;72489;73396;39761;15213;5605
2016;..Zdravila, prehranska dopolnila;959;4952;8832;12199;5684;4871
2016;..Oblaèila, športno opremo, èevlje;57549;87276;70059;40434;12835;5877
2016;..Raèunalniško strojno opremo;19210;33654;34076;12032;7933;-
2016;..Elektronsko opremo (vkljuèno s kamerami);23756;49191;33109;19930;5434;2892
2016;..Telekomunikacijske storitve (npr. naroènine, predplaèniške kartice);6156;16523;16584;8799;5640;-
2016;..Delnice, finanène storitve, zavarovanje;-;-;-;-;-;-
2016;..Turistiène nastanitvene zmogljivosti;12726;38288;49860;35590;13010;3382
2016;..Potovanja, poèitniško namestitev;-;-;-;-;-;-
2016;..Druge storitve v zvezi z organizacijo potovanj (npr. nakup letalske karte, najem avtomobila);11376;31149;27423;22154;11402;1174
2016;..Vstopnice za prireditve;26988;50836;48682;34690;9609;2205
2016;..Filme, glasbo;13742;21133;11132;3023;831;718
2016;..Knjige, revije, èasopise;8978;24418;29015;22725;5144;1351
2016;..Elektronsko uèno gradivo;4182;9524;13291;4817;728;1210
2016;..Knjige, revije, èasopisi, elektronsko uèno gradivo;-;-;-;-;-;-
2016;..Raèunalniške oz. videoigre, raèunalniška programska oprema, programska nadgradnja;18306;19596;23237;11139;728;1296
2016;..Raèunalniško programsko opremo (vkljuèno z video igricami);-;-;-;-;-;-
2016;..Raèunalniške oz. videoigre in posodobitve;-;-;-;-;-;-
2016;..Drugo raèunalniško programsko opremo in posodobitve;-;-;-;-;-;-
2016;..Loterija, stave;-;-;-;-;-;-
2016;..Oddaja stav ali iger na sreèo;-;-;-;-;-;-
2016;..Druge izdelke ali storitve;7812;5775;10861;6232;1983;-
2017;Posamezniki – SKUPAJ;167826;262118;307331;299691;292649;204586
2017;..Dobrine za vsakdanjo uporabo (npr. hrana, kozmetika);39445;54539;50679;52701;17910;3249
2017;..Dobrine za gospodinjstvo (npr. pohištvo, igraèe, avto, bela tehnika);29391;87388;68722;52342;22615;7523
2017;..Zdravila, prehranska dopolnila;1511;12433;16596;17842;8873;1526
2017;..Oblaèila, športno opremo, èevlje;58996;104227;104181;59166;19312;4341
2017;..Raèunalniško strojno opremo;26425;39183;43248;32064;9482;4580
2017;..Elektronsko opremo (vkljuèno s kamerami);27471;34040;37234;31458;9589;1590
2017;..Telekomunikacijske storitve (npr. naroènine, predplaèniške kartice);11559;13459;21837;18498;3108;2427
2017;..Delnice, finanène storitve, zavarovanje;-;-;-;-;-;-
2017;..Turistiène nastanitvene zmogljivosti;19882;46124;53172;38385;11504;4660
2017;..Potovanja, poèitniško namestitev;-;-;-;-;-;-
2017;..Druge storitve v zvezi z organizacijo potovanj (npr. nakup letalske karte, najem avtomobila);13661;32034;25986;18951;5945;1771
2017;..Vstopnice za prireditve;30230;53236;42489;40212;12808;3193
2017;..Filme, glasbo;13451;24661;11343;14221;2173;-
2017;..Knjige, revije, èasopise;11626;24128;28928;25644;8437;3472
2017;..Elektronsko uèno gradivo;9379;15508;10921;7527;3456;808
2017;..Knjige, revije, èasopisi, elektronsko uèno gradivo;-;-;-;-;-;-
2017;..Raèunalniške oz. videoigre, raèunalniška programska oprema, programska nadgradnja;17462;18718;20335;10522;4468;930
2017;..Raèunalniško programsko opremo (vkljuèno z video igricami);-;-;-;-;-;-
2017;..Raèunalniške oz. videoigre in posodobitve;-;-;-;-;-;-
2017;..Drugo raèunalniško programsko opremo in posodobitve;-;-;-;-;-;-
2017;..Loterija, stave;-;-;-;-;-;-
2017;..Oddaja stav ali iger na sreèo;-;-;-;-;-;-
2017;..Druge izdelke ali storitve;7172;4517;6866;3516;1573;2688
2018;Posamezniki – SKUPAJ;174844;254076;307251;298360;292530;211115
2018;..Dobrine za vsakdanjo uporabo (npr. hrana, kozmetika);30564;42380;47911;23845;14948;6360
2018;..Dobrine za gospodinjstvo (npr. pohištvo, igraèe, avto, bela tehnika);16891;91579;82854;49184;25043;10982
2018;..Zdravila, prehranska dopolnila;7894;33928;30177;24079;19677;5629
2018;..Oblaèila, športno opremo, èevlje;63582;102441;108609;61432;21015;3628
2018;..Raèunalniško strojno opremo;22098;32109;29270;21571;9949;3308
2018;..Elektronsko opremo (vkljuèno s kamerami);17632;30897;24761;17952;7203;3235
2018;..Telekomunikacijske storitve (npr. naroènine, predplaèniške kartice);7479;19071;20089;12453;2961;7031
2018;..Delnice, finanène storitve, zavarovanje;-;-;-;-;-;-
2018;..Turistiène nastanitvene zmogljivosti;33549;78934;59172;47455;16591;11959
2018;..Potovanja, poèitniško namestitev;-;-;-;-;-;-
2018;..Druge storitve v zvezi z organizacijo potovanj (npr. nakup letalske karte, najem avtomobila);18570;23727;26262;19005;11135;4235
2018;..Vstopnice za prireditve;36338;46041;41658;39163;10922;7530
2018;..Filme, glasbo;8063;13408;7510;3483;2733;670
